ID,hospital/non-hospital,public/private,urban/rural,GW1,GW2,GW3,GS1,GS2,GS3,GS4,GS5,GS6,GH1,GH2,GWM1,WGM2,GWM3,GC1,GC2
97,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,Yes,"No, there are no staff responsible for cleaning "
98,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
99,Hospital,Public,Rural,Protected dug well,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,Yes,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,No,"Yes, all have been trained"
100,Non-Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,Yes,"No, none have been trained"
101,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,No,"No, none have been trained"
102,Non-Hospital,Public,Urban,Tube well/Borehole,500 m or further,Yes,pit latrine with slab,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,No,"No, some but not all have been trained"
103,Non-Hospital,Public,Rural,Piped Supply inside the building ,500 m or further,No,Flush/Pour-flush toilet to tank or pit,No,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
104,Hospital,Public,Urban,Tanker truck,500 m or further,Yes,pit latrine with slab,Yes,Yes,Yes,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
105,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"Yes, all have been trained"
106,Hospital,Public,Urban,Protected dug well,On premises,Yes,pit latrine with slab,No,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,No,"No, none have been trained"
107,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,No,No,Yes,yes,Yes,Yes,"No, bins are not present ",Burning in a protected pit,Open burning ,No,"No, none have been trained"
108,Hospital,Public,Rural,Tanker truck,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, none have been trained"
109,Hospital,Public,Rural,Tanker truck,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,No,No,No,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"Yes, all have been trained"
110,Non-Hospital,Public,Urban,Tube well/Borehole,On premises,Yes,pit latrine with slab,Yes,Yes,No,Yes,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
111,Non-Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
112,Non-Hospital,Public,Rural,Piped Supply inside the building ,500 m or further,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
113,Non-Hospital,Public,Rural,Don't Know,500 m or further,No,Pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated","Not treated, but burried in lined, protected pit",Other,No,"No, there are no staff responsible for cleaning "
114,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,Yes,Yes,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Not treated and added to general waste,Burning in a protected pit,Yes,"No, some but not all have been trained"
115,Non-Hospital,Public,Rural,Rainwater,On premises,Yes,pit latrine with slab,No,No,No,No,yes,Yes,"No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",No,"No, some but not all have been trained"
116,Non-Hospital,Private,Rural,Unprotected dug well,Up to 500 m,Yes,Pit latrine with slab,Yes,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,No,"No, some but not all have been trained"
117,Hospital,Public,Rural,Piped Supply inside the building ,On premises,No,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Burning in a protected pit,Other,No,"No, none have been trained"
118,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,Yes,"No, some but not all have been trained"
119,Hospital,Public,Rural,Unprotected dug well,On premises,Yes,pit latrine with slab,No,No,Yes,No,No,"No, no hand hygiene facilities at points of care","No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, none have been trained"
120,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,Yes,"No, some but not all have been trained"
121,Non-Hospital,Public,Urban,Piped Supply inside the building ,Up to 500 m,No,Flush/Pour-flush toilet to tank or pit,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Other,Other,No,"No, there are no staff responsible for cleaning "
122,Non-Hospital,Private,Urban,Tanker truck,On premises,No,pit latrine with slab,Yes,No,Yes,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",No,"No, there are no staff responsible for cleaning "
123,Non-Hospital,Public,Urban,Piped Supply inside the building ,Up to 500 m,No,Flush/Pour-flush toilet to tank or pit,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Other,Other,No,"No, there are no staff responsible for cleaning "
124,Non-Hospital,Public,Rural,Tanker truck,500 m or further,No,Pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Not treated and added to general waste,Not treated and added to general waste,No,"No, none have been trained"
125,Non-Hospital,Private,Rural,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, none have been trained"
126,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
127,Non-Hospital,Public,Urban,Tanker truck,Up to 500 m,Yes,Pit latrine with slab,Yes,No,No,No,No,Yes,Yes,"No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Other,No,"No, none have been trained"
128,Non-Hospital,Private,Rural,Unprotected dug well,On premises,Yes,Pit latrine with slab,No,No,Yes,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, none have been trained"
129,Non-Hospital,Public,Rural,Piped Supply inside the building ,500 m or further,Yes,pit latrine with slab,Yes,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
130,Non-Hospital,Public,Rural,Tanker truck,On premises,No,pit latrine with slab,Yes,Yes,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, there are no staff responsible for cleaning "
131,Non-Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
132,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,Yes,yes,Yes,Yes,"No, bins are not present ",Incinerated (other),Other,Yes,"No, some but not all have been trained"
133,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Other,Other,No,"No, none have been trained"
134,Non-Hospital,Public,Rural,No water source or patients bring water from home,500 m or further,No,pit latrine with slab,Yes,Yes,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
135,Non-Hospital,Private,Urban,Tube well/Borehole,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Open burning ,Incinerated (other),No,"No, none have been trained"
136,Hospital,Private,Urban,Tube well/Borehole,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
137,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
138,Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,No,"No, some but not all have been trained"
139,Non-Hospital,Private,Rural,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,No,No,No,Yes,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,Yes,"No, some but not all have been trained"
140,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,Yes,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,No,"Yes, all have been trained"
141,Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
142,Hospital,Public,Rural,Protected dug well,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,No,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"No, some but not all have been trained"
143,Non-Hospital,Public,Rural,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,No,No,No,yes,"No, no hand hygiene facilities at points of care","No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"Yes, all have been trained"
144,Non-Hospital,Public,Rural,Tube well/Borehole,Up to 500 m,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,No,"No, none have been trained"
145,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
146,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Pit latrine with slab,Yes,No,No,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Other,Incinerated (other),No,"No, none have been trained"
147,Non-Hospital,Public,Rural,No water source or patients bring water from home,500 m or further,No,Pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Other,Other,No,"No, some but not all have been trained"
148,Non-Hospital,Private,Urban,No water source or patients bring water from home,Up to 500 m,No,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Open burning ,Open burning ,No,"No, there are no staff responsible for cleaning "
149,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Pit latrine without slab,Yes,No,No,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Open burning ,Open burning ,No,"No, there are no staff responsible for cleaning "
150,Non-Hospital,Private,Rural,Protected dug well,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,No,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"No, some but not all have been trained"
151,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,Yes,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,"Not treated, but buried in lined, protected pit",No,"Yes, all have been trained"
152,Non-Hospital,Private,Rural,Protected dug well,500 m or further,Yes,Pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Open burning ,No,"No, none have been trained"
153,Non-Hospital,Private,Urban,Other,Up to 500 m,No,Pit latrine with slab,No,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, there are no staff responsible for cleaning "
154,Non-Hospital,Private,Rural,Protected dug well,500 m or further,Yes,Pit latrine without slab,No,Yes,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Other,Other,No,"No, none have been trained"
155,Non-Hospital,Private,Rural,Piped Supply inside the building ,On premises,No,other,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Other,Open burning ,No,"No, there are no staff responsible for cleaning "
156,Non-Hospital,Private,Rural,Protected dug well,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
157,Non-Hospital,Private,Rural,Protected dug well,On premises,Yes,pit latrine with slab,No,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"Yes, all have been trained"
158,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Other,Other,No,"No, none have been trained"
159,Non-Hospital,Private,Rural,Protected dug well,On premises,Yes,pit latrine with slab,No,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Open burning ,Open burning ,No,"Yes, all have been trained"
160,Hospital,Private,Urban,Protected dug well,On premises,Yes,Pit latrine with slab,No,No,Yes,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Burning in a protected pit,No,"No, none have been trained"
161,Hospital,Private,Urban,Protected dug well,On premises,Yes,Pit latrine with slab,Yes,Yes,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,Yes,"No, none have been trained"
162,Non-Hospital,Public,Urban,Tanker truck,500 m or further,Yes,pit latrine with slab,Yes,Yes,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
163,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,No,No,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, there are no staff responsible for cleaning "
164,Hospital,Public,Urban,Tanker truck,500 m or further,Yes,pit latrine with slab,Yes,No,Yes,No,No,Yes,"No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),"Not treated, but buried in lined, protected pit",No,"No, some but not all have been trained"
165,Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,Yes,Yes,"No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
166,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
167,Non-Hospital,Private,Urban,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,No,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,No,"No, some but not all have been trained"
168,Non-Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,Yes,"No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",No,"No, some but not all have been trained"
169,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Pit latrine with slab,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, none have been trained"
170,Non-Hospital,Public,Rural,Piped Supply inside the building ,Up to 500 m,Yes,pit latrine with slab,No,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,Yes,"No, none have been trained"
171,Non-Hospital,Private,Urban,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,Yes,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
172,Non-Hospital,Public,Urban,Tanker truck,Up to 500 m,Yes,pit latrine with slab,No,No,No,No,No,Yes,"No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
173,Hospital,Public,Rural,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"Yes, all have been trained"
174,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,No,No,No,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),Yes,"No, some but not all have been trained"
175,Non-Hospital,Private,Urban,Rainwater,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,Yes,"Yes, all have been trained"
176,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","Yes, waste is segregated  into three labelled bins",Burning in a protected pit,Burning in a protected pit,Yes,"No, there are no staff responsible for cleaning "
177,Non-Hospital,Public,Rural,Protected dug well,On premises,Yes,Flush/Pour-flush toilet to tank or pit,No,No,No,No,yes,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are present but do not meet all requirements or waste is not correctly segregated",Burning in a protected pit,Burning in a protected pit,No,"No, none have been trained"
178,Non-Hospital,Public,Urban,Piped Supply inside the building ,500 m or further,Yes,pit latrine with slab,Yes,Yes,No,No,No,"No, no hand hygiene facilities at points of care","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Not treated and added to general waste,"Not treated, but buried in lined, protected pit",Yes,"No, some but not all have been trained"
179,Non-Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,No,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
180,Hospital,Private,Rural,Piped Supply inside the building ,500 m or further,Yes,Flush/Pour-flush toilet to tank or pit,No,Yes,Yes,Yes,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Open burning ,No,"No, some but not all have been trained"
181,Hospital,Public,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,Yes,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, some but not all have been trained"
182,Hospital,Private,Urban,Tube well/Borehole,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","Yes, waste is segregated  into three labelled bins",Incinerated (other),Burning in a protected pit,No,"No, some but not all have been trained"
183,Hospital,Public,Urban,Piped Supply inside the building ,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Incinerated (other),Incinerated (other),No,"Yes, all have been trained"
184,Non-Hospital,Public,Urban,Tanker truck,500 m or further,Yes,pit latrine with slab,Yes,Yes,No,Yes,No,Yes,Yes,"Yes, waste is segregated  into three labelled bins","Not treated, but burried in lined, protected pit",Burning in a protected pit,No,"No, none have been trained"
185,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Pit latrine without slab,Yes,Yes,Yes,No,No,Yes,Yes,"No, bins are not present ",Open burning ,Open burning ,No,"No, there are no staff responsible for cleaning "
186,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,pit latrine with slab,Yes,No,No,No,No,"No, no hand hygiene facilities at points of care","No, there are handwashing facilities near the toilets but lacking soap and /or water","No, bins are not present ",Burning in a protected pit,Burning in a protected pit,No,"No, there are no staff responsible for cleaning "
187,Hospital,Public,Urban,Protected dug well,Up to 500 m,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,Yes,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
188,Non-Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
189,Hospital,Private,Urban,Piped Supply inside the building ,On premises,Yes,Flush/Pour-flush toilet to tank or pit,Yes,Yes,Yes,No,No,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are not present ",Incinerated (other),Incinerated (other),No,"No, none have been trained"
190,Non-Hospital,Private,Urban,Unprotected dug well,On premises,Yes,pit latrine with slab,Yes,Yes,Yes,No,yes,Yes,Yes,"Yes, waste is segregated  into three labelled bins",Open burning ,Open burning ,Yes,"Yes, all have been trained"
191,Non-Hospital,Public,Urban,Tanker truck,On premises,No,pit latrine with slab,Yes,No,No,No,yes,"No, there are hand hygiene facilities at points of care but not functional, or lacking soap and water or alcohol based hand rub","No, no handwashing facilities near toilets (within 5 meters)","No, bins are present but do not meet all requirements or waste is not correctly segregated",Open burning ,Burning in a protected pit,No,"No, there are no staff responsible for cleaning "
